gene_id	FPKM
ENSG00000000003	5.888563119
ENSG00000000005	0
ENSG00000000419	34.14446209
ENSG00000000457	2.247680691
ENSG00000000460	8.515443423
ENSG00000000938	0
ENSG00000000971	0.311648259
ENSG00000001036	16.4122836
ENSG00000001084	5.085694037
ENSG00000001167	14.49219044
ENSG00000001460	0.683075621
ENSG00000001461	1.03810386
ENSG00000001497	15.00771974
ENSG00000001561	0.674615622
ENSG00000001617	6.518512613
ENSG00000001626	0
ENSG00000001629	16.33044698
ENSG00000001630	3.386311743
ENSG00000001631	1.723189642
ENSG00000002016	5.695022266
ENSG00000002079	0
ENSG00000002330	16.94326152
ENSG00000002549	17.1858277
ENSG00000002586	0.06648434
ENSG00000002587	0
ENSG00000002726	0
ENSG00000002745	0
ENSG00000002746	0
ENSG00000002822	0.218894401
ENSG00000002834	18.80434178
ENSG00000002919	7.998390571
ENSG00000002933	0
ENSG00000003056	35.3522215
ENSG00000003096	46.79823824
ENSG00000003137	0
ENSG00000003147	25.17438853
ENSG00000003249	17.50968917
ENSG00000003393	5.297406971
ENSG00000003400	0.0937288
ENSG00000003402	1.071861597
ENSG00000003436	0
ENSG00000003509	5.741293313
ENSG00000003756	4.418885464
ENSG00000003987	1.79951842
ENSG00000003989	41.37669582
ENSG00000004059	47.34103936
ENSG00000004139	10.70883167
ENSG00000004142	29.03199305
ENSG00000004399	30.21520031
ENSG00000004455	18.92248751
ENSG00000004468	0.004710237
ENSG00000004478	76.85732358
ENSG00000004487	41.22162769
ENSG00000004534	3.973652125
ENSG00000004660	2.837434986
ENSG00000004700	18.04214681
ENSG00000004766	3.483558231
ENSG00000004776	0.224812707
ENSG00000004777	5.440325048
ENSG00000004779	50.28320567
ENSG00000004799	0
ENSG00000004809	0
ENSG00000004838	0.245952935
ENSG00000004846	0
ENSG00000004848	0.010371899
ENSG00000004864	39.17558362
ENSG00000004866	14.71187205
ENSG00000004897	40.45307659
ENSG00000004939	0.006302067
ENSG00000004948	0
ENSG00000004961	15.17720853
ENSG00000004975	11.24150853
ENSG00000005001	0
ENSG00000005007	16.53962772
ENSG00000005020	0.313281253
ENSG00000005022	250.7827435
ENSG00000005059	0.744991158
ENSG00000005073	0.036303588
ENSG00000005075	19.18816552
ENSG00000005100	9.590675525
ENSG00000005102	0
ENSG00000005108	6.663089633
ENSG00000005156	19.52506175
ENSG00000005175	9.085725022
ENSG00000005187	0.012902034
ENSG00000005189	4.082403496
ENSG00000005194	37.93092539
ENSG00000005206	6.099154505
ENSG00000005238	1.809176958
ENSG00000005243	3.080954139
ENSG00000005249	22.43891394
ENSG00000005302	2.182928322
ENSG00000005339	6.180434738
ENSG00000005379	0.48777521
ENSG00000005381	0
ENSG00000005421	0
ENSG00000005436	7.314672307
ENSG00000005448	10.8604034
ENSG00000005469	2.983957109
ENSG00000005471	0.296772946
ENSG00000005483	21.67598373
ENSG00000005486	39.58205534
ENSG00000005513	0.021676572
ENSG00000005700	14.93958093
ENSG00000005801	4.608497326
ENSG00000005810	10.06903683
ENSG00000005812	5.901841903
ENSG00000005844	0.015113754
ENSG00000005882	7.438420081
ENSG00000005884	0.121916896
ENSG00000005889	7.290927103
ENSG00000005893	14.83706493
ENSG00000005961	0.362963636
ENSG00000005981	0
ENSG00000006007	21.7699442
ENSG00000006015	18.02751085
ENSG00000006016	0.15240084
ENSG00000006025	1.430119423
ENSG00000006042	0.193028892
ENSG00000006047	0.006974324
ENSG00000006059	0
ENSG00000006062	3.652624761
ENSG00000006071	0.094934018
ENSG00000006116	0
ENSG00000006118	17.56827877
ENSG00000006125	78.84546804
ENSG00000006128	0
ENSG00000006194	10.38098921
ENSG00000006210	9.174609096
ENSG00000006282	8.260613819
ENSG00000006283	0.147655759
ENSG00000006327	5.557788605
ENSG00000006377	6.018976847
ENSG00000006432	0.206002688
ENSG00000006451	35.33929291
ENSG00000006453	0.006699459
ENSG00000006459	3.716105946
ENSG00000006468	14.38382019
ENSG00000006530	6.597301263
ENSG00000006534	1.506204424
ENSG00000006555	0
ENSG00000006576	17.49386608
ENSG00000006606	0
ENSG00000006607	8.313314544
ENSG00000006611	0
ENSG00000006625	14.08229243
ENSG00000006634	18.09958381
ENSG00000006638	0.616942689
ENSG00000006652	14.53457436
ENSG00000006659	0
ENSG00000006695	4.551181741
ENSG00000006704	8.295708834
ENSG00000006712	19.50351467
ENSG00000006715	7.295402421
