gene_id	FPKM
ENSG00000000003	4.424595763
ENSG00000000005	0
ENSG00000000419	20.65153495
ENSG00000000457	3.00227111
ENSG00000000460	1.726555827
ENSG00000000938	0.014652712
ENSG00000000971	0.186298769
ENSG00000001036	6.795878056
ENSG00000001084	6.647264593
ENSG00000001167	29.82950775
ENSG00000001460	0.547316933
ENSG00000001461	3.20138057
ENSG00000001497	7.261752015
ENSG00000001561	4.268343888
ENSG00000001617	7.516495214
ENSG00000001626	0
ENSG00000001629	25.39810184
ENSG00000001630	1.12338844
ENSG00000001631	1.621495959
ENSG00000002016	5.403450371
ENSG00000002079	0
ENSG00000002330	2.46616813
ENSG00000002549	5.904760401
ENSG00000002586	0.040803189
ENSG00000002587	0
ENSG00000002726	0
ENSG00000002745	0.030364873
ENSG00000002746	0.003556187
ENSG00000002822	0.308436551
ENSG00000002834	24.7391362
ENSG00000002919	6.376522258
ENSG00000002933	0
ENSG00000003056	23.59586935
ENSG00000003096	39.9892722
ENSG00000003137	0.00988145
ENSG00000003147	14.29933664
ENSG00000003249	7.117009355
ENSG00000003393	16.05164329
ENSG00000003400	0.18303037
ENSG00000003402	2.149409926
ENSG00000003436	0
ENSG00000003509	5.55140736
ENSG00000003756	5.004829997
ENSG00000003987	1.959901772
ENSG00000003989	66.29964296
ENSG00000004059	17.94858485
ENSG00000004139	8.313538528
ENSG00000004142	20.47179259
ENSG00000004399	32.48738311
ENSG00000004455	5.493578099
ENSG00000004468	0.00722699
ENSG00000004478	25.64637278
ENSG00000004487	30.48936886
ENSG00000004534	5.112381261
ENSG00000004660	3.066799054
ENSG00000004700	17.34900507
ENSG00000004766	5.946241972
ENSG00000004776	0.086233421
ENSG00000004777	3.759055807
ENSG00000004779	15.01389963
ENSG00000004799	0
ENSG00000004809	0
ENSG00000004838	0.240144208
ENSG00000004846	0.005353297
ENSG00000004848	0.015913768
ENSG00000004864	23.89615644
ENSG00000004866	4.2411017
ENSG00000004897	34.47968693
ENSG00000004939	0
ENSG00000004948	0
ENSG00000004961	5.224157797
ENSG00000004975	8.456374567
ENSG00000005001	0
ENSG00000005007	39.92672898
ENSG00000005020	0.878151444
ENSG00000005022	44.87080729
ENSG00000005059	0.167275857
ENSG00000005073	0.018567056
ENSG00000005075	3.218362793
ENSG00000005100	15.82796143
ENSG00000005102	0
ENSG00000005108	14.42513023
ENSG00000005156	19.79760526
ENSG00000005175	10.78178879
ENSG00000005187	0.013197196
ENSG00000005189	1.662288578
ENSG00000005194	18.55949859
ENSG00000005206	6.76636928
ENSG00000005238	3.750102073
ENSG00000005243	1.460638258
ENSG00000005249	27.7310657
ENSG00000005302	1.221152238
ENSG00000005339	29.5271092
ENSG00000005379	3.328644876
ENSG00000005381	0
ENSG00000005421	0
ENSG00000005436	1.805481332
ENSG00000005448	3.648895243
ENSG00000005469	4.110546327
ENSG00000005471	0.12826575
ENSG00000005483	22.38438975
ENSG00000005486	14.6800312
ENSG00000005513	0.066517413
ENSG00000005700	25.12159521
ENSG00000005801	2.84782111
ENSG00000005810	35.99722916
ENSG00000005812	11.10025777
ENSG00000005844	0.015459514
ENSG00000005882	3.876757859
ENSG00000005884	2.138539572
ENSG00000005889	19.76296592
ENSG00000005893	9.132245206
ENSG00000005961	0.313256718
ENSG00000005981	0
ENSG00000006007	19.38194678
ENSG00000006015	6.337806726
ENSG00000006016	0.083511076
ENSG00000006025	2.269658739
ENSG00000006042	0.210183227
ENSG00000006047	0
ENSG00000006059	0
ENSG00000006062	5.779140323
ENSG00000006071	0.094481359
ENSG00000006116	0
ENSG00000006118	25.46950913
ENSG00000006125	82.3857283
ENSG00000006128	0
ENSG00000006194	17.66134442
ENSG00000006210	11.86504351
ENSG00000006282	14.36430879
ENSG00000006283	0.773226912
ENSG00000006327	3.888281125
ENSG00000006377	3.725650911
ENSG00000006432	2.496577981
ENSG00000006451	24.3138893
ENSG00000006453	0.113069944
ENSG00000006459	13.12073345
ENSG00000006468	10.73573056
ENSG00000006530	3.539345707
ENSG00000006534	1.159236077
ENSG00000006555	0.048655349
ENSG00000006576	17.29798938
ENSG00000006606	0
ENSG00000006607	13.17594187
ENSG00000006611	0.010105113
ENSG00000006625	6.279928139
ENSG00000006634	4.303075853
ENSG00000006638	0.981643602
