gene_id	FPKM
ENSMUSG00000000001	26.39
ENSMUSG00000000003	0.00
ENSMUSG00000000028	0.50
ENSMUSG00000000031	0.00
ENSMUSG00000000037	0.00
ENSMUSG00000000049	1129.45
ENSMUSG00000000056	14.14
ENSMUSG00000000058	2.17
ENSMUSG00000000078	1.75
ENSMUSG00000000085	2.43
ENSMUSG00000000088	110.58
ENSMUSG00000000093	0.55
ENSMUSG00000000094	0.00
ENSMUSG00000000103	0.00
ENSMUSG00000000120	0.45
ENSMUSG00000000125	0.00
ENSMUSG00000000126	0.00
ENSMUSG00000000127	2.91
ENSMUSG00000000131	16.97
ENSMUSG00000000134	5.95
ENSMUSG00000000142	1.27
ENSMUSG00000000148	2.23
ENSMUSG00000000149	29.58
ENSMUSG00000000154	41.78
ENSMUSG00000000157	0.36
ENSMUSG00000000159	13.44
ENSMUSG00000000167	0.55
ENSMUSG00000000168	16.32
ENSMUSG00000000171	118.71
ENSMUSG00000000182	0.00
ENSMUSG00000000183	0.00
ENSMUSG00000000184	1.27
ENSMUSG00000000194	4.00
ENSMUSG00000000197	0.00
ENSMUSG00000000202	0.00
ENSMUSG00000000204	0.02
ENSMUSG00000000214	0.00
ENSMUSG00000000215	0.00
ENSMUSG00000000216	0.00
ENSMUSG00000000223	0.00
ENSMUSG00000000244	0.62
ENSMUSG00000000247	0.91
ENSMUSG00000000248	0.00
ENSMUSG00000000253	0.43
ENSMUSG00000000263	0.00
ENSMUSG00000000266	1.66
ENSMUSG00000000275	19.62
ENSMUSG00000000276	0.36
ENSMUSG00000000278	15.43
ENSMUSG00000000282	0.73
ENSMUSG00000000290	2.89
ENSMUSG00000000295	0.60
ENSMUSG00000000296	3.79
ENSMUSG00000000301	174.79
ENSMUSG00000000303	7.60
ENSMUSG00000000305	0.10
ENSMUSG00000000308	0.00
ENSMUSG00000000317	0.70
ENSMUSG00000000318	0.66
ENSMUSG00000000320	0.17
ENSMUSG00000000325	3.27
ENSMUSG00000000326	399.45
ENSMUSG00000000339	4.13
ENSMUSG00000000340	28.87
ENSMUSG00000000346	61.61
ENSMUSG00000000355	31.21
ENSMUSG00000000359	0.09
ENSMUSG00000000365	0.01
ENSMUSG00000000374	4.77
ENSMUSG00000000378	8.94
ENSMUSG00000000381	0.00
ENSMUSG00000000384	10.95
ENSMUSG00000000385	0.58
ENSMUSG00000000386	0.70
ENSMUSG00000000392	0.07
ENSMUSG00000000394	0.00
ENSMUSG00000000399	60.50
ENSMUSG00000000402	0.00
ENSMUSG00000000409	0.38
ENSMUSG00000000411	0.00
ENSMUSG00000000416	0.15
ENSMUSG00000000420	14.27
ENSMUSG00000000435	0.00
ENSMUSG00000000439	5.30
ENSMUSG00000000440	4.24
ENSMUSG00000000441	29.24
ENSMUSG00000000486	0.50
ENSMUSG00000000489	0.15
ENSMUSG00000000530	0.86
ENSMUSG00000000531	0.32
ENSMUSG00000000532	1.60
ENSMUSG00000000538	8.90
ENSMUSG00000000544	0.00
ENSMUSG00000000552	2.81
ENSMUSG00000000555	3.42
ENSMUSG00000000560	0.00
ENSMUSG00000000561	14.80
ENSMUSG00000000562	0.06
ENSMUSG00000000563	213.49
ENSMUSG00000000567	0.72
ENSMUSG00000000568	16.66
ENSMUSG00000000579	2.23
ENSMUSG00000000581	26.76
ENSMUSG00000000594	20.82
ENSMUSG00000000600	3.66
ENSMUSG00000000605	13.17
ENSMUSG00000000606	0.00
ENSMUSG00000000617	0.00
ENSMUSG00000000627	0.05
ENSMUSG00000000628	0.22
ENSMUSG00000000631	16.21
ENSMUSG00000000632	0.00
ENSMUSG00000000673	229.17
ENSMUSG00000000682	9.03
ENSMUSG00000000686	5.51
ENSMUSG00000000690	0.00
ENSMUSG00000000693	1.07
ENSMUSG00000000701	0.00
ENSMUSG00000000706	0.00
ENSMUSG00000000708	36.79
ENSMUSG00000000711	31.96
ENSMUSG00000000724	0.00
ENSMUSG00000000730	0.00
ENSMUSG00000000731	0.00
ENSMUSG00000000732	0.10
ENSMUSG00000000738	16.50
ENSMUSG00000000739	3.97
ENSMUSG00000000740	28.72
ENSMUSG00000000743	19.76
ENSMUSG00000000751	9.24
ENSMUSG00000000753	511.81
ENSMUSG00000000759	6.15
ENSMUSG00000000766	0.00
ENSMUSG00000000776	1.75
ENSMUSG00000000782	1.45
ENSMUSG00000000787	54.40
ENSMUSG00000000791	0.20
ENSMUSG00000000792	0.00
ENSMUSG00000000794	0.00
ENSMUSG00000000804	7.47
ENSMUSG00000000805	0.00
ENSMUSG00000000811	1.83
ENSMUSG00000000817	0.22
ENSMUSG00000000823	6.68
ENSMUSG00000000826	12.77
ENSMUSG00000000827	14.11
ENSMUSG00000000838	7.15
ENSMUSG00000000861	0.03
ENSMUSG00000000869	0.00
ENSMUSG00000000876	36.31
ENSMUSG00000000881	4.39
ENSMUSG00000000884	1.44
ENSMUSG00000000889	0.00
ENSMUSG00000000901	0.26
ENSMUSG00000000902	6.81
ENSMUSG00000000903	0.00
ENSMUSG00000000915	6.52
ENSMUSG00000000916	3.54
ENSMUSG00000000934	7.50
ENSMUSG00000000938	0.00
ENSMUSG00000000942	0.14
ENSMUSG00000000948	4.12
ENSMUSG00000000957	5.82
ENSMUSG00000000958	0.91
ENSMUSG00000000959	12.55
ENSMUSG00000000976	4.29
ENSMUSG00000000982	0.00
ENSMUSG00000000983	0.00
ENSMUSG00000001014	0.00
ENSMUSG00000001016	6.97
ENSMUSG00000001017	16.33
ENSMUSG00000001018	10.02
ENSMUSG00000001020	0.49
ENSMUSG00000001021	0.00
ENSMUSG00000001023	0.00
ENSMUSG00000001025	0.31
ENSMUSG00000001027	0.00
ENSMUSG00000001029	1.60
ENSMUSG00000001034	0.85
ENSMUSG00000001036	1.69
ENSMUSG00000001039	0.39
ENSMUSG00000001052	6.99
ENSMUSG00000001053	0.35
ENSMUSG00000001054	5.60
ENSMUSG00000001056	7.21
ENSMUSG00000001062	4.74
ENSMUSG00000001065	6.37
ENSMUSG00000001076	0.00
ENSMUSG00000001082	2.28
ENSMUSG00000001089	3.15
ENSMUSG00000001095	0.44
ENSMUSG00000001098	4.52
ENSMUSG00000001100	30.36
ENSMUSG00000001103	0.34
ENSMUSG00000001105	34.91
ENSMUSG00000001119	0.93
ENSMUSG00000001120	0.40
ENSMUSG00000001123	260.44
ENSMUSG00000001127	37.44
ENSMUSG00000001128	11.15
ENSMUSG00000001131	0.00
ENSMUSG00000001134	19.76
ENSMUSG00000001138	3.78
ENSMUSG00000001143	6.45
ENSMUSG00000001150	3.57
ENSMUSG00000001151	0.94
ENSMUSG00000001155	133.96
ENSMUSG00000001156	0.68
ENSMUSG00000001157	3.94
ENSMUSG00000001158	8.94
ENSMUSG00000001166	0.41
ENSMUSG00000001168	0.00
ENSMUSG00000001173	2.92
ENSMUSG00000001175	67.60
ENSMUSG00000001211	70.06
ENSMUSG00000001225	0.00
ENSMUSG00000001227	0.27
ENSMUSG00000001228	0.06
ENSMUSG00000001229	12.09
ENSMUSG00000001240	5.66
ENSMUSG00000001247	41.79
ENSMUSG00000001248	3.03
ENSMUSG00000001249	127.10
ENSMUSG00000001260	0.00
ENSMUSG00000001270	1.57
ENSMUSG00000001280	5.86
ENSMUSG00000001281	0.67
ENSMUSG00000001285	13.31
ENSMUSG00000001288	1.68
ENSMUSG00000001289	85.27
ENSMUSG00000001300	0.70
ENSMUSG00000001305	4.57
ENSMUSG00000001313	3.54
ENSMUSG00000001323	45.69
ENSMUSG00000001333	0.04
ENSMUSG00000001334	0.03
ENSMUSG00000001348	43.52
ENSMUSG00000001349	0.03
ENSMUSG00000001366	43.10
ENSMUSG00000001376	3.90
ENSMUSG00000001379	4.76
ENSMUSG00000001380	10.80
ENSMUSG00000001383	8.02
ENSMUSG00000001403	0.99
ENSMUSG00000001415	5.44
ENSMUSG00000001416	35.02
ENSMUSG00000001417	2.38
ENSMUSG00000001418	41.76
ENSMUSG00000001419	7.66
ENSMUSG00000001420	0.23
ENSMUSG00000001424	29.51
ENSMUSG00000001435	126.74
ENSMUSG00000001436	7.61
ENSMUSG00000001440	17.61
ENSMUSG00000001441	9.44
ENSMUSG00000001444	0.03
ENSMUSG00000001445	19.73
ENSMUSG00000001467	53.30
ENSMUSG00000001472	36.01
ENSMUSG00000001473	2.54
ENSMUSG00000001482	9.37
ENSMUSG00000001493	0.03
ENSMUSG00000001494	0.00
ENSMUSG00000001496	0.00
ENSMUSG00000001497	0.10
ENSMUSG00000001504	0.00
ENSMUSG00000001506	0.24
ENSMUSG00000001507	1.12
ENSMUSG00000001508	0.00
ENSMUSG00000001510	0.00
ENSMUSG00000001517	0.38
ENSMUSG00000001518	3.44
ENSMUSG00000001520	0.17
ENSMUSG00000001521	0.31
ENSMUSG00000001524	4.26
ENSMUSG00000001525	20.68
ENSMUSG00000001542	27.90
ENSMUSG00000001552	8.39
ENSMUSG00000001555	0.21
ENSMUSG00000001558	0.00
ENSMUSG00000001566	0.00
ENSMUSG00000001569	6.68
ENSMUSG00000001576	19.65
ENSMUSG00000001583	0.00
ENSMUSG00000001588	1.26
ENSMUSG00000001604	30.39
ENSMUSG00000001622	0.00
ENSMUSG00000001627	12.42
ENSMUSG00000001630	5.69
ENSMUSG00000001632	3.34
ENSMUSG00000001642	4.74
ENSMUSG00000001655	0.00
ENSMUSG00000001656	0.00
ENSMUSG00000001657	0.00
ENSMUSG00000001661	0.00
ENSMUSG00000001663	187.55
ENSMUSG00000001665	23.96
ENSMUSG00000001666	211.79
ENSMUSG00000001670	652.55
ENSMUSG00000001672	0.29
ENSMUSG00000001674	7.50
ENSMUSG00000001687	18.14
ENSMUSG00000001700	16.17
ENSMUSG00000001707	5.48
ENSMUSG00000001729	13.83
ENSMUSG00000001739	0.12
ENSMUSG00000001741	1.11
ENSMUSG00000001750	17.18
ENSMUSG00000001751	6.02
ENSMUSG00000001755	46.92
ENSMUSG00000001761	1.82
ENSMUSG00000001763	4.91
ENSMUSG00000001767	4.10
ENSMUSG00000001768	4.26
ENSMUSG00000001773	0.00
ENSMUSG00000001774	17.13
ENSMUSG00000001783	19.29
ENSMUSG00000001785	6.72
ENSMUSG00000001786	7.56
ENSMUSG00000001794	77.28
ENSMUSG00000001802	3.01
ENSMUSG00000001804	0.00
ENSMUSG00000001815	0.00
ENSMUSG00000001819	0.00
ENSMUSG00000001823	0.00
ENSMUSG00000001827	0.00
ENSMUSG00000001829	19.95
ENSMUSG00000001833	20.53
ENSMUSG00000001844	14.29
ENSMUSG00000001847	54.21
ENSMUSG00000001855	2.85
